date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:30	41292/41292	---M--	200	added ('OK')	font/woff2	etag:%22a14c-5647dc9bf4b80%22	https://holenet.info/assets/fonts/bigblue_term.woff2	./holenet.info/assets/fonts/bigblue_term.woff2	(from https://holenet.info/assets/css/desktop.css)
21:47:31	58612/58612	---M--	200	added ('OK')	font/woff	etag:%22e4f4-5647dc9b00940%22	https://holenet.info/assets/fonts/bigblue_term.woff	./holenet.info/assets/fonts/bigblue_term.woff	(from https://holenet.info/assets/css/desktop.css)
21:47:33	166292/166292	---M--	200	added ('OK')	font/ttf	etag:%2228994-5647dc9b00940%22	https://holenet.info/assets/fonts/bigblue_term.ttf	./holenet.info/assets/fonts/bigblue_term.ttf	(from https://holenet.info/assets/css/desktop.css)
21:47:33	43858/43858	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ab52-5647dc9bf4b80%22	https://holenet.info/assets/fonts/ibm_bios-2y.eot	./holenet.info/assets/fonts/ibm_bios-2y.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:34	43858/43858	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ab52-5647dc9bf4b80%22	https://holenet.info/assets/fonts/ibm_bios-2y.eot?	./holenet.info/assets/fonts/ibm_bios-2yd41d.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:35	38264/38264	---M--	200	added ('OK')	font/woff2	etag:%229578-5647dc9ddd000%22	https://holenet.info/assets/fonts/ibm_bios-2y.woff2	./holenet.info/assets/fonts/ibm_bios-2y.woff2	(from https://holenet.info/assets/css/desktop.css)
21:47:36	53752/53752	---M--	200	added ('OK')	font/woff	etag:%22d1f8-5647dc9ce8dc0%22	https://holenet.info/assets/fonts/ibm_bios-2y.woff	./holenet.info/assets/fonts/ibm_bios-2y.woff	(from https://holenet.info/assets/css/desktop.css)
21:47:38	155100/155100	---M--	200	added ('OK')	font/ttf	etag:%2225ddc-5647dc9ce8dc0%22	https://holenet.info/assets/fonts/ibm_bios-2y.ttf	./holenet.info/assets/fonts/ibm_bios-2y.ttf	(from https://holenet.info/assets/css/desktop.css)
21:47:38	46227/46227	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b493-5647dc9ed1240%22	https://holenet.info/assets/fonts/ibm_vga8.eot	./holenet.info/assets/fonts/ibm_vga8.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:39	46227/46227	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b493-5647dc9ed1240%22	https://holenet.info/assets/fonts/ibm_vga8.eot?	./holenet.info/assets/fonts/ibm_vga8d41d.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:40	40144/40144	---M--	200	added ('OK')	font/woff2	etag:%229cd0-5647dc9fc5480%22	https://holenet.info/assets/fonts/ibm_vga8.woff2	./holenet.info/assets/fonts/ibm_vga8.woff2	(from https://holenet.info/assets/css/desktop.css)
21:47:41	57692/57692	---M--	200	added ('OK')	font/woff	etag:%22e15c-5647dc9fc5480%22	https://holenet.info/assets/fonts/ibm_vga8.woff	./holenet.info/assets/fonts/ibm_vga8.woff	(from https://holenet.info/assets/css/desktop.css)
21:47:43	168172/168172	---M--	200	added ('OK')	font/ttf	etag:%22290ec-5647dc9ed1240%22	https://holenet.info/assets/fonts/ibm_vga8.ttf	./holenet.info/assets/fonts/ibm_vga8.ttf	(from https://holenet.info/assets/css/desktop.css)
21:47:43	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:47:43%20GMT	https://holenet.info/assets/fonts/vga_squarepx.eot	./holenet.info/assets/fonts/vga_squarepx.4f.delayed	(from https://holenet.info/assets/css/desktop.css)
21:47:44	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:47:44%20GMT	https://holenet.info/assets/fonts/vga_squarepx.eot?	./holenet.info/assets/fonts/vga_squarepxd41d.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:45	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:47:45%20GMT	https://holenet.info/assets/fonts/vga_squarepx.woff2	./holenet.info/assets/fonts/vga_squarepx.woff2	(from https://holenet.info/assets/css/desktop.css)
21:47:46	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:47:46%20GMT	https://holenet.info/assets/fonts/vga_squarepx.woff	./holenet.info/assets/fonts/vga_squarepx.woff	(from https://holenet.info/assets/css/desktop.css)
21:47:47	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:47:47%20GMT	https://holenet.info/assets/fonts/vga_squarepx.ttf	./holenet.info/assets/fonts/vga_squarepx.ttf	(from https://holenet.info/assets/css/desktop.css)
21:47:48	19907/19907	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224dc3-5647dc9824280%22	https://holenet.info/assets/fonts/ati_8x16.eot	./holenet.info/assets/fonts/ati_8x16.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:49	19907/19907	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224dc3-5647dc9824280%22	https://holenet.info/assets/fonts/ati_8x16.eot?	./holenet.info/assets/fonts/ati_8x16d41d.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:50	17480/17480	---M--	200	added ('OK')	font/woff2	etag:%224448-5647dc9a0c700%22	https://holenet.info/assets/fonts/ati_8x16.woff2	./holenet.info/assets/fonts/ati_8x16.woff2	(from https://holenet.info/assets/css/desktop.css)
21:47:51	24432/24432	---M--	200	added ('OK')	font/woff	etag:%225f70-5647dc99184c0%22	https://holenet.info/assets/fonts/ati_8x16.woff	./holenet.info/assets/fonts/ati_8x16.woff	(from https://holenet.info/assets/css/desktop.css)
21:47:52	58860/58860	---M--	200	added ('OK')	font/ttf	etag:%22e5ec-5647dc99184c0%22	https://holenet.info/assets/fonts/ati_8x16.ttf	./holenet.info/assets/fonts/ati_8x16.ttf	(from https://holenet.info/assets/css/desktop.css)
21:47:53	40654/40654	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229ece-5647dc963be00%22	https://holenet.info/assets/fonts/amstradpc1512-2y.eot	./holenet.info/assets/fonts/amstradpc1512-2y.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:54	40654/40654	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229ece-5647dc963be00%22	https://holenet.info/assets/fonts/amstradpc1512-2y.eot?	./holenet.info/assets/fonts/amstradpc1512-2yd41d.eot	(from https://holenet.info/assets/css/desktop.css)
21:47:55	35504/35504	---M--	200	added ('OK')	font/woff2	etag:%228ab0-5647dc9824280%22	https://holenet.info/assets/fonts/amstradpc1512-2y.woff2	./holenet.info/assets/fonts/amstradpc1512-2y.woff2	(from https://holenet.info/assets/css/desktop.css)
21:47:56	49600/49600	---M--	200	added ('OK')	font/woff	etag:%22c1c0-5647dc9730040%22	https://holenet.info/assets/fonts/amstradpc1512-2y.woff	./holenet.info/assets/fonts/amstradpc1512-2y.woff	(from https://holenet.info/assets/css/desktop.css)
21:47:58	142724/142724	---M--	200	added ('OK')	font/ttf	etag:%2222d84-5647dc963be00%22	https://holenet.info/assets/fonts/amstradpc1512-2y.ttf	./holenet.info/assets/fonts/amstradpc1512-2y.ttf	(from https://holenet.info/assets/css/desktop.css)
21:47:58	56/56	---M--	200	added ('OK')	image/gif	etag:%2238-5647dcaf07880%22	https://holenet.info/assets/images/gui/window_corner.gif	./holenet.info/assets/images/gui/window_corner.gif	(from https://holenet.info/assets/css/desktop.css)
21:47:59	187/187	---M--	200	added ('OK')	image/png	etag:%22bb-5647dcae13640%22	https://holenet.info/assets/images/gui/trans_white.png	./holenet.info/assets/images/gui/trans_white.png	(from https://holenet.info/assets/css/desktop.css)
21:48:00	185/185	---M--	200	added ('OK')	image/png	etag:%22b9-5647dcad1f400%22	https://holenet.info/assets/images/gui/trans_black.png	./holenet.info/assets/images/gui/trans_black.png	(from https://holenet.info/assets/css/desktop.css)
21:48:01	189/189	---M--	200	added ('OK')	image/png	etag:%22bd-5647dcad1f400%22	https://holenet.info/assets/images/gui/bar_top_link.png	./holenet.info/assets/images/gui/bar_top_link.png	(from https://holenet.info/assets/css/desktop.css)
21:48:02	187/187	---M--	200	added ('OK')	image/png	etag:%22bb-5647dcac2b1c0%22	https://holenet.info/assets/images/gui/bar_top.png	./holenet.info/assets/images/gui/bar_top.png	(from https://holenet.info/assets/css/desktop.css)
21:48:03	1233/1233	---M--	200	added ('OK')	image/png	etag:%224d1-5647dcae13640%22	https://holenet.info/assets/images/gui/window_buttons.png	./holenet.info/assets/images/gui/window_buttons.png	(from https://holenet.info/assets/css/desktop.css)
21:48:04	59/59	---M--	200	added ('OK')	image/gif	etag:%223b-5647dcaf07880%22	https://holenet.info/assets/images/gui/window_content.gif	./holenet.info/assets/images/gui/window_content.gif	(from https://holenet.info/assets/css/desktop.css)
21:48:05	185/185	---M--	200	added ('OK')	image/png	etag:%22b9-5647dcac2b1c0%22	https://holenet.info/assets/images/gui/bar_bottom.png	./holenet.info/assets/images/gui/bar_bottom.png	(from https://holenet.info/assets/css/desktop.css)
21:48:06	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:48:06%20GMT	http://holenet.info/robots.txt		(from https://holenet.info/)
21:48:07	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:48:07%20GMT	http://holenet.info/downloads_files/libripper.php	./holenet.info/downloads_files/libripper.php	(from http://holenet.info/downloads_files/sonic_levelrip.phps)
21:48:08	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:48:08%20GMT	http://holenet.info/downloads_files/%22.$savepath.%22/%22.$fgtiles[$i][$j].%22.png	./holenet.info/downloads_files/_.$savepath._/_.$fgtiles[$i][$j]._.png	(from http://holenet.info/downloads_files/sonic_levelrip.phps)
21:48:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:48:09%20GMT	http://holenet.info/downloads_files/out/BG/map16.png	./holenet.info/downloads_files/out/BG/map16.png	(from http://holenet.info/downloads_files/cripper.phps)
21:48:10	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jun%202024%2020:48:10%20GMT	http://holenet.info/downloads_files/out/FG/map16.png	./holenet.info/downloads_files/out/FG/map16.png	(from http://holenet.info/downloads_files/cripper.phps)
